post_id,text
10162596903039988,"[['finke', 'desert', 'race', 'australia', 'tough', 'race', 'annual', 'event', 'occur', 'queen', 'birthday', 'long', 'weekend', 'june'], ['finke', 'desert', 'race', 'blow', 'victorian', 'whole', 'state', 'declare', 'hotspot', 'hundred', 'competitor', 'volunteer', 'attend', 'first', 'finke', 'desert', 'race', 'year', 'thanks', 'recent', 'victorian', 'outbreak', 'see', 'great', 'melbourne', 'plunge', 'fourth', 'lockdown']]"
10162596831079988,"[['victoria', 'battle', 'covid', 'multiple', 'front'], ['live', 'melbourne', 'office', 'building', 'costco', 'add', 'exposure', 'sit', 'investigation', 'continue', 'source', 'delta', 'variant', 'infection', 'health', 'authority', 'state', 'still', 'try', 'determine', 'family', 'holiday', 'new', 'south', 'wale', 'south', 'coast', 'test', 'positive', 'delta', 'variant', 'virus'], ['follow', 'live']]"
10162596765544988,"[['collins', 'street', 'office', 'building', 'melbourne', 'cbd', 'supermarket', 'docklands', 'add', 'victoria', 'list', 'covid', 'exposure', 'site', 'stand'], ['melbourne', 'cbd', 'office', 'building', 'exposure', 'site', 'EX', 'still', 'location', 'list', 'exposure', 'sit', 'victoria', 'even', 'venue', 'remove', 'case', 'deem', 'false', 'positive', 'earlier', 'week']]"
10162596753424988,"[['sudden', 'hear', 'roar', 'morning', 'think', 'UH'], ['go', 'back', 'house', 'surround', 'water'], ['tsunami', 'flood', 'disaster', 'town', 'never', 'forget', 'year', 'devastate', 'floodwaters', 'wash', 'tasmanian', 'town', 'latrobe'], ['number', 'measure', 'prevent', 'similar', 'event', 'today', 'yet', 'implement']]"
10162596733979988,"[['eligible', 'avoid', 'wait', 'time'], ['heres', 'guide', 'queensland', 'covid', 'vaccine', 'hub'], ['new', 'covid', 'vaccine', 'hub', 'open', 'queensland', 'weekend', 'heres', 'get', 'jab', 'vaccine', 'hub', 'open', 'queensland', 'weekend', 'people', 'look', 'get', 'first', 'jab'], ['find', 'eligible', 'get', 'first', 'dose']]"
10162596710079988,"[[], ['new', 'case', 'link'], ['victoria', 'battle', 'covid', 'multiple', 'front'], ['thing', 'watch', 'victoria', 'coronavirus', 'outbreak', 'take', 'concern', 'turn', 'authority', 'fight', 'kappa', 'delta', 'variant']]"
10162594346794988,"[['hope', 'heartbreak', 'month', 'kangaroo', 'island', 'devastate', 'deadly', 'bushfires', 'month', 'ago'], ['mean', 'lose', 'house', 'livelihood', 'love', 'one'], ['region', 'finally', 'heal', 'community'], ['hope', 'heartbreak', 'month', 'kangaroo', 'island', 'devastate', 'deadly', 'bushfires', 'month', 'ago'], ['play', 'video']]"
10162596581899988,"[['junior', 'afl', 'club', 'queensland', 'take', 'drastic', 'step', 'ban', 'parent', 'sideline', 'spate', 'clash', 'spectator', 'teenage', 'umpire', 'volunteer'], ['parent', 'ban', 'sideline', 'gold', 'coast', 'junior', 'afl', 'game']]"
10162596574399988,"[['apathy', 'strength', 'complacency', 'commitment', 'weve', 'see', 'side', 'pandemic', 'response', 'week', 'write', 'virginia', 'trioli'], ['analysis', 'lockdown', 'new', 'variant', 'vaccine', 'shamble', 'hang', 'thread', 'week']]"
10162596569159988,"[['pandemic', 'saw', 'remote', 'east', 'kimberley', 'effectively', 'cut', 'rest', 'australia', 'protect', 'vulnerable', 'indigenous', 'population'], ['sign', 'life', 'return', 'lesson', 'resilience', 'abound'], ['always', 'dark', 'dawn', 'road', 'covid', 'recovery']]"
